project_id,role_id
P001,R001
P002,R002
P003,R003
P004,R004
P005,R005
P006,R006
P007,R007
P008,R008
P009,R009
P010,R010
P011,R011
P012,R012
P013,R013
P014,R014
P015,R015
P016,R016
P017,R017
P018,R018
P019,R019
P020,R020
P021,R021
P022,R022
P023,R023
P024,R024
P025,R025
P026,R026
P027,R027
P028,R028
P029,R029
P030,R030
P031,R031
P032,R032
P033,R033
P034,R034
P035,R035
P036,R036
P037,R037
P038,R038
P039,R039
P040,R040
P041,R041
P042,R042
P043,R043
P044,R044
P045,R045
P046,R046
P047,R047
P048,R048
P049,R049
P050,R050
P051,R051
P052,R052
P053,R053
P054,R054
P055,R055
P056,R056
P057,R057
P058,R058
P059,R059
P060,R060
P061,R061
P062,R062
P063,R063
P064,R064
P065,R065
P066,R066
P067,R067
P068,R068